split,text,category,stance
train,بيل غيتس يتلقى لقاح #كوفيد19 من غير تصوير الابرة و لا السيرنجة و لا الدواء و لابس بولو صيفي في عز الشتاء و يقول ان إحدى مزايا عمر ال 65 عامًا هي انه مؤهل للحصول على اللقاح ... يعنى ما كان يحتاج اللقاح لو كان عمره اصغر من 65 🤔 https://t.co/QQKFFUNwBn,celebrity,1
train,وزير الصحة لحد اليوم وتحديدا هلأ بمؤتمروا الصحفي كان ما عندي مشكلة معوا.<LF>بس انوا بفايزر هو اللقاح الوحيد الآمن بالعالم لأ حبيبي هاي فيها نفاق واضح.<LF>عفوا يعني.<LF>مش إنوا مجبورين فيه وما قادر تجبر الدولة المارقة تدفع مصاري تجيب لقاح تاني.<LF>يلا باي,info_news,1
train,قولكن  رح يكونو اد المسؤولية ب لبنان لما يوصل اللقاح؟<LF>ألفي جرعة من لقاح #كورونا للتلف في مستشفى بوسطن،لأن عامل النظافة وقف عن طريق الخطأ عمل الثلاجة التي حفظت بها.<LF>#لقاح_كورونا,info_news,1
train,"#تركيا.. وزير الصحة فخر الدين قوجة يتلقى أول جرعة من لقاح ""كورونافاك"" الصيني في مستشفى بالعاصمة #أنقرة. https://t.co/qBUStQ1kPY",celebrity,1
train,وئام وهاب يشتم الدول الخليجية في كل طلة اعلامية ويتسافه عليهم واليوم جاء الى دبي وأخذ لقاح كورونا. الأجدر توقيفه وطرده. اذا لم تستحي فافعل ما شئت<LF>@USER,personal,0
train,"لقاح #كورونا في أميركا.. قلق متزايد من ""التوزيع العادل""<LF>https://t.co/NNaTRA5Bpb",info_news,0
train,لبنان اشترى مليونان لقاح امريكي اذا شلنا يلي عمرهم تحت ١٦ سنة ويلي مابدهم ياخذوا لقاح امريكي ويلي ما بدهم ياخذوا لقاح لانه مفكرينها مؤامرة ف بعتقد بفضل من اللقاح ، عشوا عاملين قصة مين رح ياخذ اول شي !! بكرا بنذكر بعض الدولة رح تصير تدعي لاخذ اللقاح والناس ما بدها,info_news,1
train,من عوارض لقاح كورونا<LF>هو تهكير حسابك عتويتر<LF>#عاصي_الحلاني,personal,0
train,هناك 1780 مليونيراً في لبنان. ماذا لو فُرضت الضريبة على ثرواتهم؟<LF>أُنجِز هذا الإنفوغراف بدعم من مؤسسة أوكسفام.<LF>#محاربة_الفقر  #محاربة_اللامساواة  #فيروس_اللامساواة  #لقاح_الناس #لبنان_ينتفض <LF>1/3<LF>@USER https://t.co/9ktE81z1JK,unrelated,0
train,دعبول حضرتك منو انت وتطلب من قائد دولة إسلامية لقاح لعد ما اتابع الاخبار هم بكل مجالاتهم متفوقين وراح يطلع اللقاح قريباً؟<LF>#دعبول_دومه_مسحول,info_news,1
train,مات 23 شخص في النرويج بعد تلقي لقاح  #COVID19..<LF>نيويورك بوست 🤦 https://t.co/g51cmWeoVL,info_news,-1
train,وبناء على تحليلها لهذه البيانات قررت المملكة المتحدة تأجيل الجرعة الثانية واستخدام الجرعات المتاحة في تطعيم اكبر عدد ممكن من الناس لحين تصنيع ما يكفي من اللقاحات لتوفير الجرعة الثانية خلال مدة تصل الى 12 اسبوع من تلقى الجرعة الاولى وحذت بعض الدول حذوها في ذلك (16),info_news,1
train,"📌حراموس <LF>الولائيون لاينفعهم لقاح ""الشيتان الأكببببر"".<LF><LF>♦️مستعدون للموت بالفايروس ولا يأخذون الطعوم (اللقاح الاميركي) https://t.co/LQ6dkIOXfe",info_news,-1
