clean_text,following,followers,totaltweets,followers,retweetcount,class_sent,Predicted_Class
عدم تطبيق ءجراء احتراز للحد من انتشار يروس كور ؛ يعد مخالف نظام ، خطر علي صحة جميع جود رابط,8,415,1292,415,0,0,0
مستقبل قطاع سياح والطير في ظل تداعيا جاءح كور يناريوها مركز ءمار سياس جود رابط,23,7101,10558,7101,0,0,1
تساءل برء ما يجعل جماع انصار الله علي قلة عدد وعد وقل طعام دواء تصمد هذا صمود ءسطور لمد ءمام تحالف من ءعتي دول وءغ دعم مصانع سلاح في عالم لها ؟ ماهو تفسير ذلك ؟ سعود كور لبنان ليبي عراق امار لءجل قطر كلنا في بيت,100,4,118,4,1096,0,1
نسب فاعل لقاح مضاد لفيروس كور جود رابط,7,232628,282380,232628,0,0,1
شدد مكتب تعليم خبر علي ضرور تحميل تطبيق توكل لبس كمام قياس درج حرار موظف والمستفيد متابع من وحد ءمن والسلام للحد من انتشار يروس كور ءنفاذ توجيه بهذ شءن تنو حساب ءنتج ال فيد منسق ءعلام مدرس زمزم ابتداء حمد ءبراهيم دوسر جود رابط,9,93,1692,93,5,0,0
حمدلله تعالي خرج ءخو سليم عساف من عنا مركز في مستشفي جهراء ءن قضي ءكثر من شهر كور ءخو عيسي شمر توقف نزيف عند تحسن ءحوال لازال تحت عنا فالحمدلل ولا تنس من دعاء جود رابط,33,32,4150,32,33,0,0
علي نور والرحما يا ءعظم من فقد ءسمح من فارق ءكرم من باعد علي من الله روح ريح شري بالجن ورب راض غير غضبان 🕊 قابوس في قلوب عمان كور شكر بطل مءيد معشن كوكب دون حريم جود رابط,3894,4912,48294,4912,56,0,1
في مزرع غير لبنان ، مستشف ما تقبل استقبل طبيب ءصاب عدوي كور يل تقطها من مرض ما يدفع مليون لير سلف مع انو عندو تءمين ؟ في مزرع غير لبنان ، يشوف كل ناس مجرد ءرقام ؟ وين زار الصح وشو دور مع مستشف ؟ طبيب توفي,349,124,2219,124,8,0,0
ءعلانا ءيام طيب كور عمان شكر بطل مءيد معشن جود رابط,3894,4912,48294,4912,50,0,1
فيد التزام ءجراء احتراز طريق خروج من جاءح كور ءخبار جود رابط,54,17,106,17,40,0,1
